"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_symbol","ensembl_id","feature_num"
1.61233339611014e-48,1.79987515556037,0.533,0.122,2.49573086383889e-44,"25","Feature11720","Naga",NA,11720
1.9467495010271e-48,1.82477045989234,0.427,0.083,3.01337355263986e-44,"25","Feature17914","Syt10",NA,17914
2.18591309679638e-48,1.79422442607475,0.32,0.049,3.38357488253112e-44,"25","Feature5526","Efemp2",NA,5526
3.07370139420213e-48,2.01056745926312,0.613,0.169,4.75778238808548e-44,"25","Feature2859","Bola1",NA,2859
3.9919949651754e-48,2.47805450732304,0.313,0.048,6.17920900659501e-44,"25","Feature20153","Wrn",NA,20153
4.45057819474674e-48,1.09750202379919,0.393,0.068,6.88904998764847e-44,"25","Feature16916","Slc39a12",NA,16916
5.13034654628758e-48,2.34739645718626,0.5,0.118,7.94126341899854e-44,"25","Feature11889","Nek1",NA,11889
5.30434299331154e-48,2.05134678525802,0.427,0.085,8.21059251934693e-44,"25","Feature1339","Abhd14b",NA,1339
8.67998060609306e-48,1.72129350829927,0.573,0.139,1.34357419801714e-43,"25","Feature4273","Cpd",NA,4273
1.50536162060685e-47,1.99483616290511,0.367,0.064,2.33014925253734e-43,"25","Feature5513","Eef2k",NA,5513
3.19622056341547e-47,2.41152154984612,0.367,0.065,4.9474298101108e-43,"25","Feature11760","Nat9",NA,11760
5.38930004709333e-47,2.07556333111869,0.44,0.091,8.34209754289576e-43,"25","Feature20347","Zdhhc1",NA,20347
6.00424269600667e-47,1.66224382251905,0.387,0.07,9.29396726914872e-43,"25","Feature14338","Plcd4",NA,14338
6.46814535959971e-47,1.88510526935806,0.513,0.121,1.00120422021244e-42,"25","Feature1338","Abhd14a",NA,1338
2.14309556725469e-46,1.72390672544801,0.393,0.072,3.31729762855353e-42,"25","Feature15165","Pxn",NA,15165
2.18317557386384e-46,2.04151043347645,0.353,0.061,3.37933747078383e-42,"25","Feature526","2900026A02Rik",NA,526
2.20614997270707e-46,1.93922884584364,0.4,0.076,3.41489954275328e-42,"25","Feature6445","Foxo1",NA,6445
2.67452418714025e-46,2.60738160647238,0.26,0.035,4.13989598927439e-42,"25","Feature16245","Scrn2",NA,16245
2.83108051967865e-46,1.47633727479808,0.873,0.38,4.38222953641058e-42,"25","Feature2940","Btg2",NA,2940
3.49994300754403e-46,1.79093234625645,0.413,0.08,5.4175617813774e-42,"25","Feature17363","Sorl1",NA,17363
3.69441887657347e-46,1.653769894053,0.913,0.502,5.71859097904807e-42,"25","Feature18806","Tomm7",NA,18806
